episode,reward,length,success,epsilon,replay_size,avg_reward,avg_length,success_rate,avg_loss
1,-3164.4000000000055,200,False,1.0,200,-3164.4000000000055,200.0,0.0,0.0
2,-1941.599999999997,200,False,0.9985,400,-2553.0000000000014,200.0,0.0,0.0
3,-1901.6999999999982,200,False,0.9970022500000001,600,-2335.9,200.0,0.0,0.0
4,-64.05,15,True,0.9955067466250002,615,-1767.9375000000002,153.75,25.0,0.0
5,-93.54999999999997,23,True,0.9940134865050627,638,-1433.0600000000002,127.6,40.0,0.0
6,-1376.0999999999972,200,False,0.9925224662753052,838,-1423.5666666666664,139.66666666666666,33.33333333333333,0.0
7,-2083.1999999999994,182,True,0.9910336825758923,1020,-1517.7999999999995,145.71428571428572,42.857142857142854,0.0
8,-2318.100000000004,152,True,0.9895471320520285,1172,-1617.8375,146.5,50.0,0.0
9,-1424.4999999999977,200,False,0.9880628113539505,1372,-1596.3555555555554,152.44444444444446,44.44444444444444,0.0
10,-1761.7999999999968,200,False,0.9865807171369196,1572,-1612.8999999999996,157.2,40.0,0.0
11,-1771.2999999999981,200,False,0.9851008460612143,1772,-1627.2999999999995,161.0909090909091,36.36363636363637,0.0
12,-2269.55,185,True,0.9836231947921226,1957,-1680.820833333333,163.08333333333334,41.66666666666667,0.0
13,-2445.500000000004,200,False,0.9821477599999344,2157,-1739.6423076923077,165.92307692307693,38.46153846153847,25.23839493751526
14,-1960.9999999999984,200,False,0.9806745383599346,2357,-1755.4535714285714,168.35714285714286,35.714285714285715,14.489318017959596
15,-2485.6000000000026,200,False,0.9792035265523947,2557,-1804.13,170.46666666666667,33.33333333333333,13.850146226882934
16,-1901.7999999999986,200,False,0.9777347212625662,2757,-1810.234375,172.3125,31.25,13.142963733673096
17,-2280.899999999998,200,False,0.9762681191806725,2957,-1837.920588235294,173.94117647058823,29.411764705882355,12.732947254180909
18,-3183.300000000006,200,False,0.9748037170019015,3157,-1912.6638888888892,175.38888888888889,27.77777777777778,13.472361755371093
19,-824.2499999999984,97,True,0.9733415114263987,3254,-1855.3789473684212,171.26315789473685,31.57894736842105,13.370289125442504
20,7.800000000000001,4,True,0.9718814991592591,3258,-1762.22,162.9,35.0,13.390443325042725
21,-2684.100000000003,200,False,0.9704236769105203,3458,-1806.119047619048,164.66666666666666,33.33333333333333,14.708483772277832
22,-2076.1999999999975,200,False,0.9689680413951546,3658,-1818.3954545454546,166.27272727272728,31.818181818181817,13.709603471755981
23,-1834.599999999997,200,False,0.9675145893330619,3858,-1819.1000000000001,167.7391304347826,30.434782608695656,13.23085099220276
24,-243.2500000000001,43,True,0.9660633174490624,3901,-1753.439583333333,162.54166666666666,33.33333333333333,13.189356832504272
25,-1885.2999999999977,200,False,0.9646142224728889,4101,-1758.7139999999997,164.04,32.0,17.53086272239685
26,-3319.2000000000057,200,False,0.9631673011391796,4301,-1818.732692307692,165.42307692307693,30.76923076923077,13.941533012390137
27,-2555.7000000000035,200,False,0.9617225501874709,4501,-1846.0277777777778,166.7037037037037,29.629629629629626,14.123786296844482
28,-2162.0999999999995,200,False,0.9602799663621897,4701,-1857.3160714285714,167.89285714285714,28.57142857142857,13.45427080154419
29,-918.9999999999985,116,True,0.9588395464126465,4817,-1824.9603448275861,166.10344827586206,31.03448275862069,13.741071310043335
30,-2410.400000000003,200,False,0.9574012870930275,5017,-1844.475,167.23333333333332,30.0,15.851016521453857
31,-4113.400000000014,200,False,0.955965185162388,5217,-1917.6661290322586,168.29032258064515,29.03225806451613,14.88231650352478
32,-1906.8999999999965,200,False,0.9545312373846445,5417,-1917.3296875000005,169.28125,28.125,14.768099670410157
33,-2599.3000000000056,200,False,0.9530994405285677,5617,-1937.9954545454552,170.21212121212122,27.27272727272727,15.442740030288697
34,-3789.300000000008,200,False,0.9516697913677749,5817,-1992.4455882352947,171.08823529411765,26.47058823529412,14.45591760635376
35,-2563.6000000000017,200,False,0.9502422866807232,6017,-2008.7642857142866,171.9142857142857,25.71428571428571,17.0838446521759
36,-2486.000000000006,200,False,0.9488169232507021,6217,-2022.0208333333342,172.69444444444446,25.0,16.454494943618773
37,-3932.1000000000076,200,False,0.9473936978658261,6417,-2073.6445945945957,173.43243243243242,24.324324324324326,15.233826169967651
38,-806.9999999999986,98,True,0.9459726073190273,6515,-2040.311842105264,171.44736842105263,26.31578947368421,15.917747735977173
39,-18.799999999999994,18,True,0.9445536484080488,6533,-1988.4782051282061,167.51282051282053,28.205128205128204,15.871815519332886
40,-863.5499999999985,119,True,0.9431368179354368,6652,-1960.355000000001,166.3,30.0,14.88004101753235
41,-2620.100000000006,200,False,0.9417221127085337,6852,-1976.4463414634158,167.1219512195122,29.268292682926827,15.755091018676758
42,-2028.9999999999977,200,False,0.9403095295394709,7052,-1977.6976190476203,167.9047619047619,28.57142857142857,17.603408451080323
43,-2389.3000000000015,200,False,0.9388990652451618,7252,-1987.2697674418616,168.65116279069767,27.906976744186046,18.243044519424437
44,-2216.7999999999993,200,False,0.9374907166472941,7452,-1992.4863636363648,169.36363636363637,27.27272727272727,17.479407167434694
45,-1385.5999999999983,200,False,0.9360844805723232,7652,-1979.000000000001,170.04444444444445,26.666666666666668,17.47152543067932
46,-302.65000000000015,53,True,0.9346803538514648,7705,-1942.557608695653,167.5,28.26086956521739,17.111162967681885
47,-1770.1999999999978,200,False,0.9332783333206877,7905,-1938.8904255319155,168.19148936170214,27.659574468085108,16.909562435150146
48,-2019.4999999999977,200,False,0.9318784158207066,8105,-1940.5697916666675,168.85416666666666,27.083333333333332,19.573744668960572
49,-880.4999999999989,86,True,0.9304805981969756,8191,-1918.935714285715,167.16326530612244,28.57142857142857,18.450015954971313
50,-2294.700000000004,200,False,0.9290848772996801,8391,-1926.4510000000007,167.82,28.000000000000004,18.300260219573975
51,-2502.100000000001,200,False,0.9276912499837306,8591,-1937.7382352941183,168.45098039215685,27.450980392156865,18.38005608558655
52,-1368.1999999999975,200,False,0.9262997131087551,8791,-1926.7855769230775,169.05769230769232,26.923076923076923,18.090896244049073
53,-1329.7499999999984,123,True,0.924910263539092,8914,-1915.5207547169819,168.18867924528303,28.30188679245283,17.160914144515992
54,-1867.3999999999987,200,False,0.9235228981437834,9114,-1914.6296296296302,168.77777777777777,27.77777777777778,20.890885257720946
55,-1443.0999999999979,200,False,0.9221376137965678,9314,-1906.056363636364,169.34545454545454,27.27272727272727,19.409016561508178
56,-1667.3999999999976,200,False,0.920754407375873,9514,-1901.7946428571433,169.89285714285714,26.785714285714285,20.562541007995605
57,-2157.2,200,False,0.9193732757648092,9714,-1906.2754385964918,170.42105263157896,26.31578947368421,19.76675923347473
58,-1470.7999999999972,190,True,0.917994215851162,9904,-1898.767241379311,170.75862068965517,27.586206896551722,20.84242590904236
59,-2336.8000000000006,200,False,0.9166172245273854,10104,-1906.1915254237294,171.25423728813558,27.11864406779661,24.161869716644286
60,-1650.0999999999976,200,False,0.9152422986905944,10304,-1901.9233333333336,171.73333333333332,26.666666666666668,23.4149613571167
61,-523.8999999999999,52,True,0.9138694352425585,10356,-1879.3327868852462,169.7704918032787,27.86885245901639,21.345572853088377
62,-2020.6999999999985,200,False,0.9124986310896946,10556,-1881.6129032258066,170.25806451612902,27.419354838709676,22.02039256095886
63,-1982.999999999999,200,False,0.9111298831430602,10756,-1883.2222222222224,170.73015873015873,26.984126984126984,20.109689378738402
64,-278.60000000000014,52,True,0.9097631883183457,10808,-1858.1500000000003,168.875,28.125,21.347775554656984
65,-1902.8999999999976,200,False,0.9083985435358682,11008,-1858.8384615384618,169.35384615384615,27.692307692307693,22.95862509727478
66,-472.6500000000002,63,True,0.9070359457205645,11071,-1837.835606060606,167.74242424242425,28.78787878787879,23.804402837753297
67,-1849.4999999999986,200,False,0.9056753918019836,11271,-1838.0097014925375,168.22388059701493,28.35820895522388,24.700364990234377
